Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Offensive Points,Defensive Points,Offensive and Defensive Points,Positional Adjustment,Points Per Win,PAR
Tim Frazier,PG,5,62,3,20,0.15,0,8,0,3,12,0.25,0.15,2,6,0.333,0,8,8,16,2,1,4,7,8,53.299,9,62.299,0.017939815,12.29032258,-2.48
Karim Mané,PG,10,88,3,13,0.231,1,2,0.5,2,11,0.182,0.269,4,5,0.8,1,13,14,4,0,2,3,10,11,30.438,9,39.438,0.025462963,12,-2.49
Cassius Winston,PG,22,98,14,33,0.424,8,17,0.471,6,16,0.375,0.545,5,6,0.833,0,9,9,12,2,1,5,8,41,108.002,9,117.002,0.028356481,33.12244898,-2.47
Justin Robinson,PG,9,88,7,21,0.333,4,14,0.286,3,7,0.429,0.429,3,5,0.6,1,6,7,9,3,0,2,10,21,67.516,2,69.516,0.025462963,20.18181818,-2.48
Frank Mason III,PG,4,79,9,24,0.375,2,5,0.4,7,19,0.368,0.417,5,7,0.714,3,9,12,12,0,0,5,7,25,78.176,7,85.176,0.022858796,25.78481013,-2.49
Jeremiah Martin,PG,9,75,9,33,0.273,3,12,0.25,6,21,0.286,0.318,1,5,0.2,2,5,7,4,5,2,6,1,22,41.986,27,68.986,0.021701389,24.12,-2.51
Tyrell Terry,PG,11,56,5,16,0.313,0,7,0,5,9,0.556,0.313,1,3,0.333,0,6,6,6,5,0,2,2,11,35.625,23,58.625,0.016203704,17.14285714,-2.51
Devin Cannady,PG,8,74,11,28,0.393,6,16,0.375,5,12,0.417,0.5,6,7,0.857,0,5,5,1,5,1,2,9,34,69.696,8,77.696,0.021412037,36.08108108,-2.52
Rayjon Tucker,PG,14,68,9,18,0.5,2,7,0.286,7,11,0.636,0.556,14,19,0.737,1,10,11,6,2,0,4,8,34,79.181,11,90.181,0.019675926,39,-2.52
Devon Dotson,PG,11,50,11,21,0.524,1,7,0.143,10,14,0.714,0.548,0,0,,2,3,5,7,4,0,0,3,23,70.525,14,84.525,0.014467593,36.12,-2.54
Isaiah Thomas,PG,3,48,9,27,0.333,3,12,0.25,6,15,0.4,0.389,2,2,1,1,3,4,5,1,0,6,3,23,48.528,4,52.528,0.013888889,37.5,-2.55
Gary Payton II,PG,10,40,10,13,0.769,2,4,0.5,8,9,0.889,0.846,3,4,0.75,2,9,11,1,6,1,1,8,25,57.442,23,80.442,0.011574074,48,-2.55
Kris Dunn,PG,4,45,1,12,0.083,0,2,0,1,10,0.1,0.083,3,4,0.75,0,6,6,2,2,2,3,10,5,9.416,0,9.416,0.013020833,11,-2.56
Jaylen Adams,PG,7,18,1,8,0.125,0,2,0,1,6,0.167,0.125,0,0,,0,3,3,2,0,0,0,1,2,10.25,4,14.25,0.005208333,11,-2.56
Grant Riller,PG,7,27,8,12,0.667,2,4,0.5,6,8,0.75,0.75,0,0,,0,1,1,3,1,0,1,0,18,45,5,50,0.0078125,51,-2.56
Jalen Lecque,PG,4,12,1,9,0.111,0,1,0,1,8,0.125,0.111,3,3,1,2,3,5,2,0,0,0,0,5,21.222,8,29.222,0.003472222,33,-2.57
Jared Harper,PG,8,16,0,4,0,0,1,0,0,3,0,0,3,4,0.75,0,2,2,1,0,0,3,1,3,2.25,2,4.25,0.00462963,16.5,-2.57
AVERAGE,PG,30.39285714,472.75,66.55357143,162.0535714,0.381928571,26.76785714,73.57142857,0.317803571,39.78571429,88.48214286,0.430285714,0.450339286,26.07142857,32.26785714,0.771403846,8.642857143,43.67857143,52.32142857,68.64285714,17.16071429,5.25,26.75,37.17857143,185.9464286,510.3825865,78.375,588.7575865,0.136791088,31.3197099,0.00
