Player,Pos,G,MP,X3P.,eFG.,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS.,USG.,WS,WS.48,BPM,VORP,TeamTotalPoints,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
Serge Ibaka,C,41,955,0.339,0.563,0.811,73,202,275,74,9,47,44,76,454,18.2,0.585,20.1,3,0.15,1.4,0.8,8209,200,200,60,3,2,2,-3,4,4,3,5,-3
Andre Iguodala,SF,63,1339,0.33,0.504,0.658,38,183,221,142,57,35,67,90,275,9.2,0.519,11.2,1.7,0.062,-0.4,0.5,7781,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Ersan İlyasova,PF,17,148,0.439,0.556,1,7,22,29,4,10,3,8,29,65,12.1,0.578,18.7,0.4,0.122,-0.9,0,8382,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Joe Ingles,SF,67,1867,0.451,0.652,0.844,27,217,244,318,45,12,117,120,809,15.9,0.672,16.6,7,0.18,3.5,2.6,8382,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Brandon Ingram,SF,61,2093,0.381,0.531,0.878,34,265,299,296,42,36,154,124,1450,19.2,0.584,28,5.3,0.12,2.2,2.2,8251,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Kyrie Irving,PG,54,1886,0.402,0.576,0.922,52,205,257,324,76,37,130,140,1451,24.4,0.614,30.4,7.4,0.189,5.5,3.6,8537,200,300,100,1,4,2,-5,2,3,5,3,-3
Wes Iwundu,SF,41,539,0.122,0.358,0.839,15,75,90,18,15,4,19,49,99,4.3,0.428,10.8,0,-0.003,-6.3,-0.6,8096,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Frank Jackson,PG,40,738,0.407,0.561,0.813,15,71,86,36,15,1,34,53,390,13.2,0.598,21.3,1.2,0.076,-1.7,0.1,7676,200,300,100,1,4,2,-5,2,3,5,3,-3
Jaren Jackson Jr.,C,11,258,0.283,0.492,0.833,17,45,62,12,12,18,15,42,158,18,0.551,25.9,0.7,0.123,0.1,0.1,8157,200,200,60,3,2,2,-3,4,4,3,5,-3
Josh Jackson,SG,62,1560,0.3,0.473,0.729,57,197,254,143,53,47,142,178,828,12,0.516,26.5,0.1,0.004,-3,-0.4,7676,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Justin Jackson,SF,34,577,0.308,0.484,0.838,16,61,77,52,15,2,32,32,245,10.4,0.516,19.8,0.2,0.018,-3.5,-0.2,7560,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Reggie Jackson,SG,67,1544,0.433,0.554,0.817,24,168,192,205,41,7,74,127,715,14.2,0.576,19.9,3.7,0.115,0.4,0.9,8209,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Justin James,SF,36,310,0.368,0.532,0.583,9,21,30,22,8,3,15,23,139,11.3,0.548,19.7,0.1,0.02,-4.3,-0.2,8189,200,250,80,2,3,2,-4,3,3.5,4,4,-3
LeBron James,PG,45,1504,0.365,0.576,0.698,29,317,346,350,48,25,168,70,1126,24.2,0.602,31.9,5.6,0.179,8.1,3.8,7887,200,300,100,1,4,2,-5,2,3,5,3,-3
Mike James,PG,13,236,0.355,0.429,0.778,3,29,32,54,6,1,20,10,100,11.9,0.481,22.9,0.1,0.028,-4.4,-0.1,8537,200,300,100,1,4,2,-5,2,3,5,3,-3
DaQuan Jeffries,SG,31,493,0.299,0.5,0.875,19,52,71,22,15,10,14,48,127,7.9,0.514,11.9,0.3,0.027,-4.7,-0.3,8189,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Ty Jerome,SG,33,788,0.423,0.57,0.765,10,81,91,120,20,6,47,61,353,13.4,0.585,18.8,1.3,0.079,-0.7,0.3,7560,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Isaiah Joe,SG,41,383,0.368,0.508,0.75,6,30,36,20,12,4,11,34,153,9.5,0.533,17.4,0.6,0.078,-3,-0.1,8182,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Alize Johnson,PF,18,189,0.167,0.596,1,27,63,90,14,5,5,9,16,94,23.5,0.638,19.1,0.9,0.227,2.7,0.2,8537,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Cameron Johnson,PF,60,1437,0.349,0.541,0.847,33,166,199,86,37,16,40,85,573,11.8,0.563,17,2.6,0.086,-0.2,0.7,8300,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
James Johnson,PF,51,1043,0.258,0.494,0.592,32,145,177,98,42,42,55,120,368,11.4,0.51,17.1,1.2,0.055,-1.2,0.2,8096,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Keldon Johnson,SF,69,1968,0.331,0.522,0.74,93,319,412,121,40,24,78,142,881,13.8,0.557,19.2,3.3,0.079,-1.6,0.2,7998,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Stanley Johnson,PF,61,1006,0.328,0.479,0.8,29,124,153,89,52,18,54,116,267,8.8,0.519,13.4,1,0.048,-2.5,-0.1,8011,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Tyler Johnson,SG,39,684,0.364,0.525,0.857,6,71,77,47,14,0,17,43,210,8.2,0.546,13.3,0.7,0.049,-3.4,-0.2,8537,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Nikola Jokić,C,72,2488,0.388,0.602,0.868,205,575,780,599,95,48,222,192,1898,31.3,0.647,29.6,15.6,0.301,12.1,8.8,8284,200,200,60,3,2,2,-3,4,4,3,5,-3
Damian Jones,C,39,547,0.2,0.684,0.724,36,85,121,29,11,29,26,77,183,14.6,0.712,12.3,1.6,0.138,-1.4,0.1,8189,200,200,60,3,2,2,-3,4,4,3,5,-3
Derrick Jones Jr.,SF,58,1318,0.316,0.554,0.648,77,128,205,47,37,54,32,127,396,11.9,0.576,12.3,2.4,0.089,-1.4,0.2,8360,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Mason Jones,SG,32,334,0.364,0.52,0.625,7,48,55,42,7,1,29,24,168,12.1,0.556,23,0.2,0.028,-2.7,-0.1,7833,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Tre Jones,PG,37,269,0.6,0.494,0.895,8,13,21,39,8,0,13,13,94,12.1,0.544,16.1,0.4,0.066,-3.5,-0.1,7998,200,300,100,1,4,2,-5,2,3,5,3,-3
Tyus Jones,PG,70,1222,0.321,0.485,0.911,21,119,140,259,64,6,48,31,442,15,0.511,16.6,2.8,0.11,0.8,0.9,8157,200,300,100,1,4,2,-5,2,3,5,3,-3
DeAndre Jordan,C,57,1246,0,0.763,0.5,117,310,427,93,17,65,85,116,426,17.1,0.736,13.1,3.9,0.152,1,0.9,8537,200,200,60,3,2,2,-3,4,4,3,5,-3
Cory Joseph,PG,63,1446,0.341,0.522,0.818,35,124,159,213,61,18,79,139,517,12.5,0.556,16.3,2.1,0.069,-1.8,0.1,8189,200,300,100,1,4,2,-5,2,3,5,3,-3
Mfiondu Kabengele,PF,39,280,0.26,0.444,0.8,12,48,60,17,8,13,15,36,95,9.5,0.486,17.7,0.2,0.026,-4.3,-0.2,8209,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Frank Kaminsky,C,47,715,0.365,0.531,0.617,36,152,188,79,14,17,22,70,310,15.8,0.547,19,2,0.133,1.3,0.6,8300,200,200,60,3,2,2,-3,4,4,3,5,-3
Luke Kennard,SG,63,1232,0.446,0.597,0.839,15,146,161,104,23,9,48,91,520,12.7,0.608,17.1,2.7,0.105,-0.2,0.6,8209,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Louis King,SF,6,85,0.364,0.559,1,5,13,18,9,7,3,4,9,44,21.2,0.6,20.6,0.3,0.16,4.9,0.1,8189,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Maxi Kleber,PF,50,1341,0.41,0.58,0.919,47,213,260,68,24,35,30,105,353,10.6,0.606,10.6,2.9,0.103,0,0.7,8096,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Nathan Knight,PF,33,279,0.182,0.4,0.8,27,45,72,8,9,10,15,22,124,13.9,0.499,21.7,0.4,0.07,-3.7,-0.1,8186,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
